ProfileContactDisplay,ProfileContactNameFirst,ProfileContactNameLast,ProfileGender,ProfileDateBirth,ProfileContactEmail,ProfileContactWebsite,ProfileContactPhoneHome,ProfileContactPhoneCell,ProfileContactPhoneWork,ProfileLocationStreet,ProfileLocationCity,ProfileLocationState,ProfileLocationZip,ProfileLocationCountry,ProfileType,ProfileIsActive,ClientEthnicity,ClientSkinTone,ClientHairColor,ClientEyeColor,ClientHeight,ClientWeight,ClientChest,ClientBraCupSize,ClientBust,ClientWaist,ClientHip,ClientInseam,ClientSuitSize,ClientDressSize,ClientShoeSize,ClientLanguage(s),ClientExperience(s),ClientUnion
Irma D,Irma,Dunagan,Female,1965-06-28,IrmaCDunagan@email.com,IrmaCDunagan.com,601-928-2981,601-928-2982,601-928-2983,3387 Washington Avenue,Wiggins,MS,39577,USA,1 | 2,1,Caucasian ,Fair,Brunette,Blue,5 ft 4 in,100,,A,32,26,34,,,4,5,English/ French,Modelling/ Acting,SAG ELIG
Marie W,Marie,Wade,Female,2000-09-23,MarieJWade@email.com,MarieJWade.com,484-418-1021,484-418-1022,484-418-1023,3481 Horseshoe Lane,Portland,PA,97205,USA,2,1,Caucasian ,Fair,Brunette,Blue,4 ft 8 in,118,,AA,30,22,30,,,3,4,English,Modelling,SAG/AFTRA
Deanna M,Deanna,Murphy,Female,1987-12-18,DeannaLMurphy@email.com,DeannaLMurphy.com,760-837-0951,760-837-0952,760-837-0953,1219 Coleman Avenue,Palm Desert,CA,92260,USA,1,1,Caucasian ,Fair,Brunette,Blue,5 ft 2 in,110,,B,34,28,36,,,5,7,English,Modelling,NON-UNION
Mary H,Mary,Hughes,Female,1984-02-01,MaryMHughes@email.com,MaryMHughes.com,724-927-1951,724-927-1952,724-927-1953,2501 Spruce Drive,Westford,PA,16134,USA,2,1,Caucasian ,Fair,Brunette,Blue,5 ft 0 in,95,,C,32,28,34,,,4,6,English,Acting,NON-UNION
Samantha W,Samantha,Wolfe,Female,1987-06-07,SamanthaMWolfe@email.com,SamanthaMWolfe.com,405-484-2261,405-484-2262,405-484-2263,63 Benson Park Drive,Paoli,OK,73074,USA,2,1,Caucasian ,Fair,Brunette,Blue,5 ft 1 in,105,,B,32,28,34,,,5,8,English,Modelling,NON-UNION
Erin D,Erin,Donnell,Female,1986-05-23,ErinSDonnell@email.com,ErinSDonnell.com,925-899-0341,925-899-0342,925-899-0343,4934 Brown Street,Concord,CA,94520,USA,1,1,Caucasian ,Fair,Brunette,Blue,4 ft 9 in,95,,A,32,26,34,,,3,4,English,Modelling,SAG/AFTRA
Thomas E,Thomas,Evans,Male,1990-05-07,ThomasGEvans@email.com,ThomasGEvans.com,815-924-6251,815-924-6252,815-924-6253,3922 Memory Lane,Sterling,IL,61081,USA,1 | 2,1,Caucasian ,Fair,Dark Blond,Amber,6 ft 1 in,155,34,,,30,,36,34,,14,English/ French,Modelling/ Acting,SAG ELIG
Melvin C,Melvin,Sanchez,Male,1994-07-30,MelvinSSanchez@email.com,MelvinSSanchez.com,617-980-6521,617-980-6522,617-980-6523,1257 Rainy Day Drive,Woburn,MA,1801,USA,1,1,Caucasian ,Fair,Dark Blond,Amber,6 ft 0 in,150,32,,,30,,34,32,,13,English,Modelling,SAG/AFTRA
Hugh C ,Hugh,Conner,Male,1991-08-27,HughAConner@email.com,HughAConner.com,423-257-2631,423-257-2632,423-257-2633,4951 Nixon Avenue,Limestone,TN,37681,USA,1,1,Caucasian ,Fair,Dark Blond,Amber,6 ft 2 in,160,34,,,32,,36,34,,14,English,Modelling,NON-UNION
David W,David,Walton,Male,1989-02-22,DavidLWalton@email.com,DavidLWalton.com,309-807-8951,309-807-8952,309-807-8953,4331 Simpson Street,Bloomington,IL,61704,USA,1,1,Caucasian ,Fair,Dark Blond,Amber,6 ft 4 in,180,34,,,30,,36,34,,13,English,Modelling,NON-UNION
John T,John,Torres,Male,1994-01-30,JohnBTorres@email.com,JohnBTorres.com,401-572-7991,401-572-7992,401-572-7993,820 Winding Way,Providence,RI,2905,USA,2,1,Caucasian ,Fair,Dark Blond,Amber,5 ft 8 in,170,30,,,29,,30,32,,12,English,Modelling,NON-UNION
Raul J,Raul,Johnson,Male,1989-08-04,RaulLJohnson@email.com,RaulLJohnson.com,201-544-2441,201-544-2442,201-544-2443,3359 Walnut Avenue,Lyndhurst,NJ,7071,USA,2,1,Caucasian ,Fair,Dark Blond,Amber,5 ft 7 in,160,30,,,30,,30,30,,10,English,Modelling,NON-UNION
